,Labels,Decoded
215,215,brand_title_Charles Jourdan
216,216,brand_title_Charles Vögele
217,217,brand_title_Chasin'
218,218,brand_title_Chaussea
219,219,brand_title_Chevignon
220,220,brand_title_Chic Me
221,221,brand_title_Chipie
222,222,brand_title_Christian Pellet
223,223,brand_title_Christine Laure
224,224,brand_title_Cincinati
225,225,brand_title_Clarks
226,226,brand_title_Clique
227,227,brand_title_Clockhouse
228,228,brand_title_Cloothes
229,229,brand_title_Club Med
230,230,brand_title_Coca-Cola
231,231,brand_title_Cole Haan
232,232,brand_title_Colourful Rebel
233,233,brand_title_Colours of the World
234,234,brand_title_Columbia
235,235,brand_title_Commune de Paris
236,236,brand_title_Compagnia di Navigazione
237,237,brand_title_Comptoir des Cotonniers
238,238,brand_title_Converse
239,239,brand_title_Converse x Chuck Taylor
240,240,brand_title_CoolCat
241,241,brand_title_Cop Copine
242,242,brand_title_Coq Sportif
243,243,brand_title_Cortefiel
244,244,brand_title_Corteiz
245,245,brand_title_Cotone
246,246,brand_title_Cotton & Silk
247,247,brand_title_Cotton Club
248,248,brand_title_Craghoppers
249,249,brand_title_Cranberry
250,250,brand_title_Creeks
251,251,brand_title_Crivit
252,252,brand_title_Crocs
253,253,brand_title_Crooked Tongues
254,254,brand_title_Custo Barcelona
255,255,brand_title_Cypres
256,256,brand_title_DC
257,257,brand_title_DC Shoes
258,258,brand_title_DDP
259,259,brand_title_DEFEND
260,260,brand_title_DEVERNOIS
261,261,brand_title_DISTRIKT NØRREBRO
262,262,brand_title_DOLLAR
263,263,brand_title_DOOA
264,264,brand_title_DOOMSDAY
265,265,brand_title_Daily Aesthetikz
266,266,brand_title_Daily paper
267,267,brand_title_Daim
268,268,brand_title_Damart
269,269,brand_title_Daniele Alessandrini
270,270,brand_title_De Blasio
271,271,brand_title_De Paris
272,272,brand_title_Decathlon
273,273,brand_title_Deeluxe
274,274,brand_title_Defacto
275,275,brand_title_Delahaye
276,276,brand_title_Deluxe
277,277,brand_title_Demonia
278,278,brand_title_Denny Rose
279,279,brand_title_Desigual
280,280,brand_title_Destiny
281,281,brand_title_Detail
282,282,brand_title_Devred
283,283,brand_title_Diadora
284,284,brand_title_Diesel
285,285,brand_title_Dior
286,286,brand_title_Disney
287,287,brand_title_Docksteps
288,288,brand_title_Dolce & Gabbana
289,289,brand_title_Domyos
290,290,brand_title_Don't Call Me Jennyfer
291,291,brand_title_Donna
292,292,brand_title_Donnay
293,293,brand_title_Doppelgänger
294,294,brand_title_Dr. Denim
295,295,brand_title_Dr. Martens
296,296,brand_title_Drapeau Noir
297,297,brand_title_Driver
298,298,brand_title_Drumohr
299,299,brand_title_Dsquared2
300,300,brand_title_Dstrezzed
301,301,brand_title_Ducatti
302,302,brand_title_Duck Farm
303,303,brand_title_EA7 Emporio Armani
