,Labels,Decoded
166,brand_title_122,brand_title_Heckel
167,brand_title_123,brand_title_Hogan
168,brand_title_124,brand_title_Hoka
169,brand_title_125,brand_title_Hugo Boss
170,brand_title_126,brand_title_IXS
171,brand_title_127,brand_title_In Extenso
172,brand_title_128,brand_title_Inconnu
173,brand_title_129,brand_title_Ingram
174,brand_title_130,brand_title_Inside
175,brand_title_131,brand_title_Italia
176,brand_title_132,brand_title_Italiano
177,brand_title_133,brand_title_J.Crew
178,brand_title_134,brand_title_Jack & Jones
179,brand_title_135,brand_title_Jacqueline Riu
180,brand_title_136,brand_title_Jean Paul Gaultier
181,brand_title_137,brand_title_Jeckerson
182,brand_title_138,brand_title_Jennyfer
183,brand_title_139,brand_title_Joma
184,brand_title_140,brand_title_Jordan
185,brand_title_141,brand_title_Juicy Couture
186,brand_title_142,brand_title_Jujutsu Kaisen
187,brand_title_143,brand_title_Jules
188,brand_title_144,brand_title_KOOKAÏ
189,brand_title_145,brand_title_KOST
190,brand_title_146,brand_title_Kaporal
191,brand_title_147,brand_title_Karmine
192,brand_title_148,brand_title_Kawasaki
193,brand_title_149,brand_title_Kenzo
194,brand_title_150,brand_title_Kiabi
195,brand_title_151,brand_title_Kickers
196,brand_title_152,brand_title_Kiliwatch
197,brand_title_153,brand_title_LH
198,brand_title_154,brand_title_La Cible Rouge
199,brand_title_155,brand_title_Lacoste
200,brand_title_156,brand_title_Lafuma
201,brand_title_157,brand_title_Laurent Cerrer
202,brand_title_158,brand_title_Lay
203,brand_title_159,brand_title_Le Temps des Cerises
204,brand_title_160,brand_title_Lee Cooper
205,brand_title_161,brand_title_Les Deux
206,brand_title_162,brand_title_Levi's
207,brand_title_163,brand_title_Liu Jo
208,brand_title_164,brand_title_Local
209,brand_title_165,brand_title_ME+EM
210,brand_title_166,brand_title_MEERMIN
211,brand_title_167,brand_title_MINIMUM
212,brand_title_168,brand_title_MIZUNO
213,brand_title_169,brand_title_Maglia
214,brand_title_170,brand_title_Maison 123
215,brand_title_171,brand_title_Mango
216,brand_title_172,brand_title_Marc Jacobs
217,brand_title_173,brand_title_Marithé + François Girbaud
218,brand_title_174,brand_title_Mason Garments
219,brand_title_175,brand_title_Massimo Dutti
220,brand_title_176,brand_title_Meindl
221,brand_title_177,brand_title_Mephisto
222,brand_title_178,brand_title_Mim
223,brand_title_179,brand_title_Minelli
224,brand_title_180,brand_title_Mistral
225,brand_title_181,brand_title_Mitchell & Ness
226,brand_title_182,brand_title_Monkind
227,brand_title_183,brand_title_Monoprix
228,brand_title_184,brand_title_Morgan
229,brand_title_185,brand_title_Mosquitos
230,brand_title_186,brand_title_NOBRAND.PT
231,brand_title_187,brand_title_NORDICA
232,brand_title_188,brand_title_Naf Naf
233,brand_title_189,brand_title_Napapijri
234,brand_title_190,brand_title_New Balance
235,brand_title_191,brand_title_New Zealand Auckland
236,brand_title_192,brand_title_Nike
237,brand_title_193,brand_title_Nike Air
238,brand_title_194,brand_title_Nike SB
239,brand_title_195,brand_title_ONLY
240,brand_title_196,brand_title_OVS
241,brand_title_197,brand_title_Off-White
242,brand_title_198,brand_title_Original Penguin
243,brand_title_199,brand_title_Oxbow
244,brand_title_200,brand_title_Oysho
245,brand_title_201,brand_title_Padmore And Barnes
246,brand_title_202,brand_title_Pal Zileri
247,brand_title_203,brand_title_Palladium
248,brand_title_204,brand_title_Paul Smith
249,brand_title_205,brand_title_Pepe Jeans
250,brand_title_206,brand_title_Petit Bateau
251,brand_title_207,brand_title_Petrol Industries
